team,player,minute,x,y
Argentina,Cristian Gabriel Romero,98,19.7,50.4
France,Randal Kolo Muani,98,97.2,28.0
France,Youssouf Fofana,98,82.0,8.7
Argentina,Cristian Gabriel Romero,98,28.9,54.3
Argentina,Cristian Gabriel Romero,98,9.0,67.3
France,Youssouf Fofana,99,94.6,5.9
France,Youssouf Fofana,99,111.5,9.6
France,Eduardo Camavinga,101,53.1,8.9
Argentina,Gonzalo Ariel Montiel,101,32.8,65.2
Argentina,Enzo Fernandez,101,32.1,66.7
France,Randal Kolo Muani,101,81.3,15.8
Argentina,Enzo Fernandez,102,61.4,66.5
Argentina,Lautaro Javier Martínez,102,66.4,57.0
France,Kingsley Coman,103,38.8,62.6
France,Jules Koundé,103,23.4,54.9
France,Youssouf Fofana,104,52.0,28.4
France,Marcus Thuram,104,35.8,31.2
France,Dayotchanculle Upamecano,104,17.6,45.7
France,Aurélien Djani Tchouaméni,105,15.9,12.6
Argentina,Cristian Gabriel Romero,105,83.3,44.4
Argentina,Nicolás Alejandro Tagliafico,105,63.2,4.0
France,Dayotchanculle Upamecano,105,18.2,44.9
France,Kingsley Coman,105,42.4,72.2
France,Jules Koundé,105,29.6,72.7
Argentina,Marcos Javier Acuña,105,111.7,6.8
France,Dayotchanculle Upamecano,106,2.0,24.3
Argentina,Lionel Andrés Messi Cuccittini,110,70.6,27.5
Argentina,Lionel Andrés Messi Cuccittini,110,77.7,61.6
Argentina,Gonzalo Ariel Montiel,111,31.1,68.2
Argentina,Enzo Fernandez,111,31.1,68.2
Argentina,Leandro Daniel Paredes,111,27.2,62.0
Argentina,Lionel Andrés Messi Cuccittini,111,86.9,49.4
Argentina,Lionel Andrés Messi Cuccittini,111,63.4,47.7
France,Marcus Thuram,111,68.3,16.6
France,Raphaël Varane,111,34.9,59.4
Argentina,Lautaro Javier Martínez,111,88.0,18.3
France,Kingsley Coman,112,4.3,70.5
France,Jules Koundé,112,4.1,66.7
France,Kingsley Coman,112,9.3,70.9
France,Kingsley Coman,112,4.1,72.7
Argentina,Marcos Javier Acuña,113,114.9,7.0
France,Kingsley Coman,113,4.1,72.7
Argentina,Enzo Fernandez,113,66.4,64.8
Argentina,Leandro Daniel Paredes,113,45.8,66.0
Argentina,Enzo Fernandez,114,37.7,23.1
Argentina,Enzo Fernandez,114,45.4,24.8
Argentina,Nicolás Alejandro Tagliafico,114,10.5,15.4
Argentina,Leandro Daniel Paredes,114,8.2,9.4
France,Youssouf Fofana,118,61.2,25.0
Argentina,Lionel Andrés Messi Cuccittini,118,97.2,56.6
France,Randal Kolo Muani,118,44.6,32.0
France,Aurélien Djani Tchouaméni,118,37.1,28.4
Argentina,Marcos Javier Acuña,118,96.7,31.2
Argentina,Gonzalo Ariel Montiel,119,100.4,74.8
France,Aurélien Djani Tchouaméni,121,37.3,75.0
France,Kingsley Coman,121,38.6,73.1
France,Randal Kolo Muani,121,60.0,70.7
France,Randal Kolo Muani,121,62.5,75.4
France,Kingsley Coman,121,58.2,66.2
France,Kingsley Coman,121,61.9,72.2
France,Ibrahima Konaté,121,40.3,68.2
Argentina,Marcos Javier Acuña,121,60.8,6.4
France,Eduardo Camavinga,122,72.4,31.4
France,Dayotchanculle Upamecano,122,16.1,19.2
Argentina,Leandro Daniel Paredes,123,52.9,28.0
Argentina,Cristian Gabriel Romero,123,3.3,69.3
Argentina,Cristian Gabriel Romero,123,8.2,66.3
Argentina,Leandro Daniel Paredes,123,5.0,59.4
Argentina,Enzo Fernandez,123,7.7,54.9
France,Adrien Rabiot,0,84.7,4.7
France,Aurélien Djani Tchouaméni,0,75.1,76.3
Argentina,Rodrigo Javier De Paul,1,58.2,74.4
France,Dayotchanculle Upamecano,3,55.9,36.5
Argentina,Lionel Andrés Messi Cuccittini,5,68.3,46.1
Argentina,Julián Álvarez,6,62.1,73.7
Argentina,Cristian Gabriel Romero,8,112.9,42.7
Argentina,Julián Álvarez,12,102.1,51.5
Argentina,Rodrigo Javier De Paul,18,7.8,66.7
France,Olivier Giroud,19,114.1,43.4
France,Ousmane Dembélé,20,7.5,59.2
Argentina,Cristian Gabriel Romero,25,29.8,25.0
France,Theo Bernard François Hernández,26,93.5,38.9
Argentina,Julián Álvarez,37,66.4,16.0
France,Jules Koundé,37,68.5,73.7
France,Jules Koundé,40,68.9,77.0
France,Randal Kolo Muani,41,52.0,76.5
France,Randal Kolo Muani,41,68.9,74.4
Argentina,Julián Álvarez,44,64.4,71.8
France,Theo Bernard François Hernández,46,109.1,8.7
Argentina,Enzo Fernandez,51,48.8,4.9
France,Adrien Rabiot,54,74.5,3.6
Argentina,Nicolás Alejandro Tagliafico,56,58.9,22.0
France,Kylian Mbappé Lottin,57,53.1,6.6
Argentina,Julián Álvarez,60,69.3,19.8
Argentina,Nicolás Alejandro Tagliafico,62,67.6,53.6
Argentina,Enzo Fernandez,68,42.2,22.4
France,Aurélien Djani Tchouaméni,73,83.1,16.0
Argentina,Julián Álvarez,74,72.1,54.3
France,Eduardo Camavinga,76,40.7,3.6
Argentina,Nicolás Hernán Otamendi,78,12.7,56.9
Argentina,Julián Álvarez,84,73.8,25.8
Argentina,Nicolás Hernán Otamendi,85,43.0,12.6
France,Marcus Thuram,86,106.6,27.3
Argentina,Julián Álvarez,87,85.2,69.9
Argentina,Cristian Gabriel Romero,91,33.4,62.2
Argentina,Enzo Fernandez,93,4.1,64.6
Argentina,Nicolás Alejandro Tagliafico,95,93.3,27.1
Argentina,Marcos Javier Acuña,97,93.7,29.7
France,Adrien Rabiot,90,70.2,35.5
France,Marcus Thuram,91,39.8,8.5
Argentina,Lionel Andrés Messi Cuccittini,92,99.1,62.6
Argentina,Marcos Javier Acuña,94,76.4,5.9
Argentina,Enzo Fernandez,95,46.9,64.5
Argentina,Gonzalo Ariel Montiel,99,8.6,74.2
France,Randal Kolo Muani,101,77.7,17.5
Argentina,Leandro Daniel Paredes,113,45.8,66.0
Argentina,Gonzalo Ariel Montiel,115,14.8,52.1
Argentina,Rodrigo Javier De Paul,0,35.4,75.4
Argentina,Alexis Mac Allister,0,45.0,3.8
France,Adrien Rabiot,1,61.9,5.7
Argentina,Lionel Andrés Messi Cuccittini,3,64.2,43.6
France,Theo Bernard François Hernández,5,51.8,34.0
France,Adrien Rabiot,6,58.0,6.4
France,Hugo Lloris,8,7.2,37.4
France,Theo Bernard François Hernández,18,112.3,13.4
Argentina,Ángel Fabián Di María Hernández,19,6.0,36.7
Argentina,Ángel Fabián Di María Hernández,20,112.6,20.9
France,Olivier Giroud,25,90.3,55.1
Argentina,Lionel Andrés Messi Cuccittini,26,26.6,41.2
France,Aurélien Djani Tchouaméni,37,53.7,64.1
Argentina,Alexis Mac Allister,37,51.6,6.4
Argentina,Ángel Fabián Di María Hernández,40,51.2,3.1
Argentina,Nicolás Alejandro Tagliafico,41,68.1,3.6
Argentina,Nicolás Alejandro Tagliafico,41,51.2,5.7
France,Theo Bernard François Hernández,44,55.7,8.3
Argentina,Rodrigo Javier De Paul,46,11.0,71.4
France,Randal Kolo Muani,51,71.3,75.2
Argentina,Rodrigo Javier De Paul,54,45.6,76.5
France,Randal Kolo Muani,56,61.2,58.1
Argentina,Rodrigo Javier De Paul,57,67.0,73.5
France,Raphaël Varane,60,50.8,60.3
France,Antoine Griezmann,62,52.5,26.5
Argentina,Cristian Gabriel Romero,73,37.0,64.1
France,Kingsley Coman,74,48.0,25.8
Argentina,Rodrigo Javier De Paul,76,79.4,76.5
France,Randal Kolo Muani,78,107.4,23.2
France,Aurélien Djani Tchouaméni,84,46.3,54.3
France,Randal Kolo Muani,85,77.1,67.5
France,Adrien Rabiot,87,34.9,10.2
France,Marcus Thuram,91,86.7,17.9
France,Kingsley Coman,93,116.0,15.5
France,Adrien Rabiot,95,26.8,53.0
France,Kingsley Coman,97,26.4,50.4
Argentina,Rodrigo Javier De Paul,90,49.9,44.6
Argentina,Gonzalo Ariel Montiel,91,80.3,71.6
France,Eduardo Camavinga,92,21.0,17.5
France,Jules Koundé,94,43.7,74.2
France,Eduardo Camavinga,95,73.2,15.6
France,Youssouf Fofana,99,111.5,5.9
Argentina,Alexis Mac Allister,101,42.4,62.6
France,Eduardo Camavinga,113,74.3,14.1
France,Theo Bernard François Hernández,1,67.0,7.2
Argentina,Rodrigo Javier De Paul,2,94.4,56.0
Argentina,Lionel Andrés Messi Cuccittini,3,69.6,59.4
France,Kylian Mbappé Lottin,4,37.5,45.1
Argentina,Alexis Mac Allister,4,63.4,36.9
France,Adrien Rabiot,4,53.7,37.2
France,Dayotchanculle Upamecano,7,73.0,16.2
Argentina,Enzo Fernandez,7,35.1,53.0
Argentina,Cristian Gabriel Romero,11,35.6,30.7
Argentina,Ángel Fabián Di María Hernández,11,103.2,17.5
France,Raphaël Varane,12,45.6,51.5
France,Ousmane Dembélé,12,75.1,69.3
Argentina,Julián Álvarez,14,45.8,22.2
Argentina,Lionel Andrés Messi Cuccittini,16,87.8,62.0
Argentina,Ángel Fabián Di María Hernández,16,104.9,36.3
France,Raphaël Varane,16,37.7,53.0
Argentina,Cristian Gabriel Romero,24,15.5,51.7
Argentina,Enzo Fernandez,28,74.3,56.8
Argentina,Alexis Mac Allister,32,88.4,31.2
Argentina,Nicolás Hernán Otamendi,32,67.2,35.0
Argentina,Enzo Fernandez,34,80.3,27.7
France,Dayotchanculle Upamecano,35,69.1,7.0
France,Aurélien Djani Tchouaméni,43,73.4,17.7
France,Aurélien Djani Tchouaméni,44,83.7,60.9
France,Randal Kolo Muani,44,91.2,37.3
France,Hugo Lloris,45,7.3,61.1
France,Kylian Mbappé Lottin,46,87.1,6.2
Argentina,Nahuel Molina Lucero,47,67.0,65.4
France,Adrien Rabiot,48,18.9,8.3
France,Aurélien Djani Tchouaméni,50,28.1,73.5
Argentina,Lionel Andrés Messi Cuccittini,45,58.0,27.5
France,Raphaël Varane,48,18.0,26.0
Argentina,Enzo Fernandez,48,74.9,11.3
France,Jules Koundé,48,43.9,71.8
France,Antoine Griezmann,49,69.8,17.9
Argentina,Damián Emiliano Martínez,49,3.3,52.1
Argentina,Alexis Mac Allister,50,56.3,6.8
Argentina,Julián Álvarez,53,113.8,71.2
France,Marcus Thuram,53,8.2,9.3
Argentina,Nicolás Hernán Otamendi,53,58.0,62.2
France,Aurélien Djani Tchouaméni,53,77.5,22.2
Argentina,Ángel Fabián Di María Hernández,56,16.3,5.3
France,Randal Kolo Muani,56,100.8,66.0
France,Marcus Thuram,61,73.4,5.7
Argentina,Alexis Mac Allister,62,31.9,28.6
France,Jules Koundé,62,17.0,50.6
Argentina,Nicolás Alejandro Tagliafico,64,57.2,10.4
Argentina,Alexis Mac Allister,64,90.7,16.9
Argentina,Nicolás Alejandro Tagliafico,66,13.7,5.1
Argentina,Alexis Mac Allister,66,3.0,10.9
France,Aurélien Djani Tchouaméni,66,86.5,60.5
Argentina,Marcos Javier Acuña,68,55.4,16.6
France,Adrien Rabiot,69,62.5,13.6
Argentina,Rodrigo Javier De Paul,69,15.0,74.4
France,Aurélien Djani Tchouaméni,69,81.1,13.2
France,Kylian Mbappé Lottin,70,104.2,19.8
Argentina,Enzo Fernandez,74,75.1,65.6
France,Kylian Mbappé Lottin,74,59.1,7.6
Argentina,Cristian Gabriel Romero,74,29.6,76.3
France,Kingsley Coman,74,33.4,24.5
Argentina,Nicolás Hernán Otamendi,75,49.2,20.5
France,Eduardo Camavinga,75,38.8,41.9
France,Hugo Lloris,77,2.2,38.0
Argentina,Enzo Fernandez,77,47.1,22.8
Argentina,Lionel Andrés Messi Cuccittini,80,46.5,47.2
Argentina,Julián Álvarez,83,100.6,19.2
Argentina,Nicolás Hernán Otamendi,83,73.4,47.9
France,Adrien Rabiot,83,35.6,19.0
France,Marcus Thuram,83,48.8,4.6
France,Marcus Thuram,83,61.9,13.8
France,Aurélien Djani Tchouaméni,85,63.8,19.2
France,Jules Koundé,85,43.7,69.0
Argentina,Rodrigo Javier De Paul,92,20.1,29.9
