team,player,minute,x_start,y_start,x_end,y_end
Argentina,Rodrigo Javier De Paul,68,43.7,74.4,41.3,64.3
Argentina,Enzo Fernandez,68,46.9,59.4,57.2,46.2
Argentina,Alexis Mac Allister,68,57.2,46.2,50.9,56.6
Argentina,Enzo Fernandez,68,50.1,55.6,54.4,64.1
Argentina,Lionel Andrés Messi Cuccittini,68,57.6,59.6,48.8,53.9
Argentina,Enzo Fernandez,68,43.9,49.6,39.2,30.8
Argentina,Nicolás Hernán Otamendi,68,40.0,27.5,50.7,15.4
Argentina,Nicolás Alejandro Tagliafico,68,50.9,11.1,66.8,5.1
France,Marcus Thuram,68,70.2,62.2,75.1,68.6
France,Randal Kolo Muani,68,75.1,68.6,70.2,70.5
France,Jules Koundé,68,70.2,70.5,77.3,57.5
France,Aurélien Djani Tchouaméni,68,71.9,62.8,63.8,33.7
France,Adrien Rabiot,68,62.9,28.6,77.1,16.8
France,Kylian Mbappé Lottin,68,79.0,17.0,109.4,3.4
France,Theo Bernard François Hernández,68,109.6,5.3,111.7,29.7
France,Dayotchanculle Upamecano,68,67.0,21.1,69.8,13.6
France,Adrien Rabiot,69,62.3,13.6,66.4,21.3
France,Aurélien Djani Tchouaméni,69,77.9,14.3,92.7,15.8
France,Kylian Mbappé Lottin,69,92.9,15.8,94.0,10.8
Argentina,Rodrigo Javier De Paul,69,17.2,75.0,29.3,72.0
Argentina,Lionel Andrés Messi Cuccittini,69,32.6,72.9,73.2,77.0
France,Theo Bernard François Hernández,69,46.9,3.1,20.2,25.8
France,Hugo Lloris,69,25.3,32.4,39.4,50.2
France,Raphaël Varane,69,62.5,56.8,57.4,69.5
France,Jules Koundé,69,57.4,69.5,44.6,33.5
France,Dayotchanculle Upamecano,69,45.0,30.3,59.7,10.4
France,Aurélien Djani Tchouaméni,69,69.6,9.3,82.8,3.4
France,Theo Bernard François Hernández,69,83.7,4.2,100.8,12.3
Argentina,Cristian Gabriel Romero,69,19.3,67.8,27.2,74.8
Argentina,Nahuel Molina Lucero,69,27.2,74.8,19.9,67.1
Argentina,Cristian Gabriel Romero,69,19.9,67.1,39.0,66.9
France,Aurélien Djani Tchouaméni,69,78.3,17.9,68.1,21.5
France,Adrien Rabiot,70,72.6,18.1,81.3,3.4
